surname,forenames,party,votes,district,la,elected
Carden,Jo,Liberal Democrats,1443,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Horton,Shaun Harold,Conservative Party,2163,Willerby and Kirk Ella,East Riding of Yorkshire,TRUE
