district,electorate,ballot_papers_issued,ballot_papers_rejected,seats,id1,id2
Scunthorpe,60199,32664,250,1,,
Kingston Upon Hull West and Hessle,61494,27818,820,1,,
Kingston Upon Hull East,65407,31122,106,1,,
Kingston Upon Hull North,62590,29584,108,1,,
Haltemprice and Howden,68436,48029,111,1,,
Great Grimsby,63711,32964,160,1,,
East Yorkshire,76218,46925,121,1,,
Cleethorpes,70746,43589,181,1,,
Brigg and Goole,67205,42578,263,1,,
Beverley and Holderness,76868,50203,162,1,,
