district,electorate,ballot_papers_issued,ballot_papers_rejected,seats,id1,id2
Scunthorpe,63089,37034,410,1,,
Kingston Upon Hull West and Hessle,57264,31505,235,1,,
Kingston Upon Hull East,67530,34184,202,1,,
Kingston Upon Hull North,64082,33291,320,1,,
Haltemprice and Howden,70254,48737,330,1,,
Great Grimsby,61229,32954,116,1,,
East Yorkshire,80105,51254,311,1,,
Cleethorpes,70214,44966,623,1,,
Brigg and Goole,67345,43874,384,1,,
Beverley and Holderness,79318,53199,265,1,,
